id,entity_id,category_id,,,,,,,
,15,,#N/A,#N/A,PICOS PULVERIZADORES SA,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,16,,#N/A,#N/A,ELECTRO ROAR INDUSTRIAL SA,www.telectroroar.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,17,,#N/A,#N/A,PRECISIONS PLAST SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,18,,#N/A,#N/A,NAONIS SRL,www.naonis.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de ropa de cama y mantelería,
,19,,#N/A,#N/A,POLTECH SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por menor de materiales de construcción n.c.p.,
,20,,#N/A,#N/A,MAXEPA SRL,www.maxepasrl.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,21,,#N/A,#N/A,GUNDEL MECANICA DE PRECISION SA,,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),"Actividades especializadas de construcción n.c.p. (Incluye el alquiler, montaje y desmantelamiento de andamios, la construcción de chimeneas y hornos industriales, el acorazamiento de cajas fuertes y cámaras frigoríficas, el armado e instalación de compuertas para diques, etc.)",
,22,,#N/A,#N/A,METALURGICA TORCEN SRL,www.torcen.com.ar,Fabricación de productos metálicos de tornería y/o matricería,Fabricación de cojinetes engranajes trenes de engranaje y piezas de transmisión,
,23,,#N/A,#N/A,FIDRA SRL,www.laoval.com.ar,Fabricación de productos metálicos de tornería y/o matricería,,
,24,,#N/A,#N/A,BOLIGRAFOS NYP SA,www.boligrafosnyp.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,25,,#N/A,#N/A,LUK PARTY SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de juguetes (Incluye artículos de cotillón),
,26,,#N/A,#N/A,AEROSOLES HECSPI SACIFIMS,,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Fabricación de productos químicos n.c.p. (Incluye la producción de aceites esenciales, tintas excepto para imprenta, etc.)",
,27,,#N/A,#N/A,FRIOTEX SRL,www.friotex.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,28,,#N/A,#N/A,BOTIX SRL,www.botix.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Venta al por mayor de muebles e instalaciones para la industria, el comercio y los servicios n.c.p.",
,29,,#N/A,#N/A,CAPOZUCCA SRL,www.capozucca.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,Servicio de transporte automotor de cargas n.c.p. (Incluye servicios de transporte de carga refrigerada y transporte pesado),
,30,,#N/A,#N/A,INTER RUEDA SA,,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,31,,#N/A,#N/A,SCRAM SRL,www.scram.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,32,,#N/A,#N/A,LUSSO SRL,www.lussosrl.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Fabricación de muebles y partes de muebles, principalmente de madera",
,33,,#N/A,#N/A,LATECBA SA,www.latecba.com,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)","Fabricación de equipo médico y quirúrgico y de aparatos ortopédicos n.c.p, (Incluye prótesis, aparatos ortopédicos, materiales para fracturas, etc.)",
