id,entity_id,category_id,,,,,,,
,384,,#N/A,#N/A,ABERTURAS FENSTER SRL,www.fenster.com.ar,Fabricación de carpintería metálica,,
,385,,#N/A,#N/A,HORIZONTE SACIFI,www.coophorizonte.com.ar,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia",,
,386,,#N/A,#N/A,ESPLASINT SRL,www.colchonesfisher.com.ar,Fabricación de somieres y colchones,"Venta al por menor de muebles para el hogar, artículos de mimbre y corcho",
,387,,#N/A,#N/A,COLFAR SA,www.colfarargentina.com.ar,Fabricación de somieres y colchones,,
,388,,#N/A,#N/A,ASERRADERO SAN GERONIMO SOCIEDAD DE RESPONSABILIDAD LIMITADA,,Aserrado y cepillado de madera nativa,Aserrado y cepillado de madera implantada,
,389,,#N/A,#N/A,MNS SA,,Fabricación de premoldeadas para la construcción,"Construcción, reforma y reparación de edificios residenciales (Incluye la construcción, reforma y reparación de viviendas unifamiliares y multifamiliares bungalows, cabañas, casas de campo, departamentos, albergues para ancianos, niños, estudiantes, etc.)",
,390,,#N/A,#N/A,INDUSTRIAL Y COMERCIAL ANTARCO SRL,www.antarco.com,"Fabricación de cerraduras, herrajes y artículos de ferretería n.c.p.",Venta al por mayor de mercancías n.c.p.,
,391,,#N/A,#N/A,MANGUERAS INDUSTRIALES CONCORD SA,www.manguerasconcord.com.ar,Fabricación de productos de caucho n.c.p.,,
,392,,#N/A,#N/A,DELPA SRL,www.ba.net,Fabricación de productos de caucho n.c.p.,,
,393,,#N/A,#N/A,CRISTALES ARTESANALES SA,www.crisarte.com.ar,Fabricación de productos de vidrio n.c.p.,"Construcción, reforma y reparación de edificios residenciales (Incluye la construcción, reforma y reparación de viviendas unifamiliares y multifamiliares bungalows, cabañas, casas de campo, departamentos, albergues para ancianos, niños, estudiantes, etc.)",
,394,,#N/A,#N/A,WALMAR SRL,www.walmaring.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,Venta al por mayor de mercancías n.c.p.,
,395,,#N/A,#N/A,GPM ARGENTINA SA,www.gpmsa.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,Fabricación de productos metálicos de tornería y/o matricería,
,396,,#N/A,#N/A,VITRODI SA,www.vitroblock.com.ar,Fabricación de productos de vidrio n.c.p.,,
,397,,#N/A,#N/A,LAMINACION BASCONIA SA,www.laminacion-basconia.com.ar,"Laminación y estirado. Producción de lingotes, planchas o barras fabricadas por operadores independientes",,
,398,,#N/A,#N/A,KANGU SA,www.kangubigbag.com.ar,Fabricación de bolsas de materiales textiles para productos a granel,,
,399,,#N/A,#N/A,S G REPUESTOS Y MANTENIMIENTO SRL,www.sgrepuestos.com.ar,Fabricación de compresores grifos y válvulas,Venta al por mayor de máquinas - herramienta de uso general,
,400,,#N/A,#N/A,DERIPLAST SA,,Fabricación de envases plásticos,"Cría de ganado bovino, excepto la realizada en cabañas y para la producción de leche (Incluye: ganado bubalino)",
,401,,#N/A,#N/A,INHIA SA,www.silosmarisa.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)","Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",
,402,,#N/A,#N/A,HIDRAULICA C & C SRL,www.hidraulicacyc.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)","Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p. (Incluye motoniveladoras, excavadoras, palas mecánicas, perforadoras-percutoras, etc.)",
,403,,#N/A,#N/A,QUALITYROSARIO SRL,www.qualityrosario.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",,
,404,,#N/A,#N/A,ENVASES COLON SA,,Fabricación de productos textiles n.c.p.,Fabricación de bolsas de materiales textiles para productos a granel,
,405,,#N/A,#N/A,OBRAS Y SUMINISTROS AEA SA,www.aea-sa.com.ar,Fabricación de productos textiles n.c.p.,"Aislamiento térmico, acústico, hídrico y antivibratorio",
,406,,#N/A,#N/A,FILAMTEX SA,www.fialmtex.om,Fabricación de productos textiles n.c.p.,"Confección de ropa interior, prendas para dormir y para la playa",
,407,,#N/A,#N/A,TORELLO HERMANOS SA,www.torellohnos.com.ar,Fabricación de productos textiles n.c.p.,Cultivo de cereales de uso forrajero n.c.p.,
,408,,#N/A,#N/A,TESIL SRL,www.tesilsrl.com,Tratamiento y revestimiento de metales y trabajos de metales en general,,
,409,,#N/A,#N/A,CORTE CHAP SOCIEDAD ANONIMA,,Tratamiento y revestimiento de metales y trabajos de metales en general,Venta al por menor de materiales de construcción n.c.p.,
,410,,#N/A,#N/A,OLMO BIKES SA,,Fabricación de bicicletas y de sillones de ruedas ortopédicos,,
,411,,#N/A,#N/A,METALURGICA GUADALUPE SRL,www.gualpe.com.ar,Fabricación de compresores grifos y válvulas,,
,412,,#N/A,#N/A,CARFLEJ SA,,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia",,
,413,,#N/A,#N/A,M METAL SRL,www.mmetal.com.ar,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia","Servicios inmobiliarios realizados por cuenta propia, con bienes urbanos propios o arrendados n.c.p.",
,414,,#N/A,#N/A,MARANI HNOS SA,www.maranihnos.com.ar,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco","Venta al por mayor de máquinas, equipos e implementos de uso en la elaboración de alimentos, bebidas y tabaco (Incluye máquinas para moler, picar y cocer alimentos, fabricadora de pastas, bateas, enfriadoras y envasadoras de bebidas, etc.)",
,415,,#N/A,#N/A,VASSARO HNOS SRL,www.arpan.com.ar,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco","Fabricación de heladeras, freezers, lavarropas y secarropas",
,416,,#N/A,#N/A,HOGARIS NOVA SA,,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",Fabricación de artículos de cuchillería y utensilios de mesa y de cocina,
,417,,#N/A,#N/A,DEL PLAST ENVASES FLEXIBLES SA,,Fabricación de envases plásticos,Fabricación de bolsas de materiales textiles para productos a granel,
,418,,#N/A,#N/A,TABLES SRL,www.tablessrl.com.ar,"Fabricación de muebles y partes de muebles, principalmente de madera",Venta al por mayor de muebles excepto de oficina artículos de mimbre y corcho colchones y somieres,
,419,,#N/A,#N/A,DESCANSITO SRL,,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plástico, etc.)",Venta al por mayor de muebles excepto de oficina artículos de mimbre y corcho colchones y somieres,
,420,,#N/A,#N/A,COMPAÑIA CONSTRUCTORA DE EMBARCACIONES SA,www.aqualumyachts.com,Construcción y reparación de embarcaciones de recreo y deporte,,
,421,,#N/A,#N/A,DISTRIBUIDORA ITALIA SRL,,Fabricación de productos elaborados de metal n.c.p.,,
,422,,#N/A,#N/A,SUMINOX SRL,www.suminox.com.ar,Fabricación de productos elaborados de metal n.c.p.,,
,423,,#N/A,#N/A,FIRSAG SRL,www.firsag.com.ar,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plástico, etc.)",,
,424,,#N/A,#N/A,VEOLIA WATER TECHNOLOGIES ARGENTINA SA,www.veoliawater.com,Fabricación de maquinaria y equipo de uso especial n.c.p.,"Alquiler de maquinaria y equipo n.c.p., sin personal",
,425,,#N/A,#N/A,JORFRA SRL,www.jorfra.com,Fabricación de artículos de cuchillería y utensilios de mesa y de cocina,"Fabricación de maletas, bolsos de mano y similares, artículos de talabartería y artículos de cuero n.c.p.",
,426,,#N/A,#N/A,MHOR INDUSTRIAL SA,www.mhor-arg.com.ar,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",Reparación y pintura de carrocerías colocación y reparación de guardabarros y protecciones exteriores,
,427,,#N/A,#N/A,BUSTINZA GOMA SA,www.bustinzagomasa.com.ar,Fabricación de autopartes de caucho excepto cámaras y cubiertas,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",
,428,,#N/A,#N/A,MARCO AURELIO SOSA SACIF,www.marcoaureliososa.com.ar,Fabricación de productos elaborados de metal n.c.p.,"Venta al por menor en comercios no especializados, sin predominio de productos alimenticios y bebidas",
,429,,#N/A,#N/A,BOLOGNINO SA,www.bolognino.com.ar,Servicios relacionados con la impresión,,
,430,,#N/A,#N/A,MAZZUCA HNOS SRL,www.tutopia.com,Fabricación de productos metálicos de tornería y/o matricería,,
,431,,#N/A,#N/A,SAG ENVASADORAS SA,www.sag.arnetbiz.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,Venta al por mayor de máquinas - herramienta de uso general,
,432,,#N/A,#N/A,GIS ELECTRONICA SA,www.giselectronica.com,Fabricación de maquinaria y equipo de uso especial n.c.p.,,
,433,,#N/A,#N/A,INDUSTRIAS HULS SA,www.datmarkets.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,Fabricación de productos metálicos de tornería y/o matricería,
,434,,#N/A,#N/A,PNEUMATIC SERVICE SA,www.airtac.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,"Servicios de asesoramiento, dirección y gestión empresarial n.c.p.",
,435,,#N/A,#N/A,FUNDICION COLDEN SA,www.coldensa.com.ar,Fundición de metales no ferrosos,Servicio de transporte automotor de mercaderías y sustancias peligrosas,
,436,,#N/A,#N/A,BOLSAS INDUSTRIALES ALAMO SAIC,www.palamo.com.ar,Fabricación de papel ondulado y envases de papel,Fabricación de envases plásticos,
,437,,#N/A,#N/A,HIDRATOOLS SA,www.hidratools.com.ar,Fabricación de máquinas herramienta,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",
,438,,#N/A,#N/A,METALURGICA MATIENZO SRL,www.mmatienzo.com.ar,Fabricación de máquinas herramienta,Fabricación de maquinaria y equipo de uso especial n.c.p.,
,439,,#N/A,#N/A,VENTILACION TEVA SA,www.ventilacionteva.com.ar,Fabricación de maquinaria y equipo de uso especial n.c.p.,"Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos (Incluye la instalación de compactadores, calderas, sistemas de calefacción central, etc.)",
,440,,#N/A,#N/A,RAGOMAR SA,www.ragomar.com.ar,"Corte, tallado y acabado de la piedra (Incluye mármoles y granitos, etc.)","Construcción, reforma y reparación de edificios residenciales (Incluye la construcción, reforma y reparación de viviendas unifamiliares y multifamiliares bungalows, cabañas, casas de campo, departamentos, albergues para ancianos, niños, estudiantes, etc.)",
,441,,#N/A,#N/A,FUNDALUM SA,www.fundalum.com.ar,Fundición de metales no ferrosos,,
,442,,#N/A,#N/A,SIMECO SA,www.simecosa.com.ar,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",Servicio de transporte automotor de cargas n.c.p. (Incluye servicios de transporte de carga refrigerada y transporte pesado),
,443,,#N/A,#N/A,FABRILAM SA,,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia",Fabricación de aparatos de distribución y control de la energía eléctrica,
,444,,#N/A,#N/A,LITOGRAFIA DALLASTA SA,,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia","Impresión n.c.p., excepto de diarios y revistas",
,445,,#N/A,#N/A,VAER SA,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles","Forjado, prensado, estampado y laminado de metales pulvimetalurgia",
,446,,#N/A,#N/A,VAC METAL SRL,www.vacmetal.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Tratamiento y revestimiento de metales y trabajos de metales en general,
,447,,#N/A,#N/A,CUIDEX SA,www.cuidex.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,448,,#N/A,#N/A,INECA SA,www.telviso.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles","Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",
,449,,#N/A,#N/A,NOVAR PLAST SRL,www.novarplast.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Recuperación de materiales y desechos no metálicos,
,450,,#N/A,#N/A,SULAN SA,www.sulan.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,451,,#N/A,#N/A,NILDATEX SACIFIA,www.nildatex.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,452,,#N/A,#N/A,TAMBORES DEL COMAHUE SA,www.tamboresdelcomahue.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,453,,#N/A,#N/A,POLINORTE SA,www.polinorte.com,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Venta al por mayor de artículos de librería y papelería,
,454,,#N/A,#N/A,EDUARDO J BACIGALUPO SA,www.ejbsa.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,455,,#N/A,#N/A,BAYRESPLASTIC SRL,www.bayresplastic.com.ar,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,456,,#N/A,#N/A,CAS SRL,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",Fabricación de implementos de uso agropecuario,
,457,,#N/A,#N/A,HABASIT ARGENTINA SA,www.habasit.com.ar,Fabricación de productos de caucho n.c.p.,,
,458,,#N/A,#N/A,ROCIG SA,,"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",,
,459,,#N/A,#N/A,FUNDICION SANTIAGO MARTINEZ SA,www.fundicionsantiagomartinez.com,Fabricación en industrias básicas de productos de hierro y acero n.c.p. (Incluye la producción de hojalata),Recuperación de materiales y desechos metálicos,
,460,,#N/A,#N/A,JUGUETECH SA,www.juguetech.com,Fabricación de juegos y juguetes,Venta al por mayor de juguetes (Incluye artículos de cotillón),
,461,,#N/A,#N/A,SOLVERPAK SA,www.solverpak.com,"Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco",Reparación y mantenimiento de maquinaria de uso especial n.c.p.,
,462,,#N/A,#N/A,EDELORO SA,www.edeloro.com.ar,Fabricación de productos de caucho n.c.p.,Fabricación de medicamentos de uso humano y productos farmacéuticos,
,463,,#N/A,#N/A,MEDITERRANEA TEXTIL SA,,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",,
,464,,#N/A,#N/A,EMPRE SRL,www.hebillasempre.com.ar,Fabricación de productos elaborados de metal n.c.p.,,
,465,,#N/A,#N/A,INDUSTRIAS BAHIA SA,www.industriasbahia.com.ar,Fabricación de productos elaborados de metal n.c.p.,"Forjado, prensado, estampado y laminado de metales pulvimetalurgia",
,466,,#N/A,#N/A,MATEO BONO E HIJO SRL,www.mbono.com.ar,Fabricación de productos elaborados de metal n.c.p.,"Venta al por mayor de máquinas, equipos e implementos de uso en imprentas, artes gráficas y actividades conexas (Incluye venta de máquinas fotocopiadoras -excepto las de uso personal-, copiadoras de planos, máquinas para imprimir, guillotinar, troquelar, encuadernar, etc.)",
,467,,#N/A,#N/A,INDUSTRIAS CAMPA SRL,,Fabricación de productos elaborados de metal n.c.p.,Fundición de hierro y acero,
,468,,#N/A,#N/A,COFLEX SRL,www.coflexsrl.com.ar,Fabricación de productos elaborados de metal n.c.p.,Venta al por menor de artículos para plomería e instalación de gas,
,469,,#N/A,#N/A,DRUBICH Y CIA SA,www.drubichycia.com.ar,Fabricación de productos elaborados de metal n.c.p.,Venta al por menor de artículos de ferretería y materiales eléctricos,
,470,,#N/A,#N/A,CAON SRL,www.mueblescaon.com.ar,"Fabricación de muebles y partes de muebles, principalmente de madera",,
,471,,#N/A,#N/A,ENVASES CARAES SA,,Fabricación de papel ondulado y envases de papel,Fabricación de cartón ondulado y envases de cartón,
,472,,#N/A,#N/A,GK COM SA,www.gkcom.com.ar,Fabricación de productos elaborados de metal n.c.p.,"Construcción, reforma y reparación de edificios no residenciales (Incluye construcción, reforma y r",
,473,,#N/A,#N/A,ESTILO ARTESANAL SRL,www.elcorralmuebles.com,"Fabricación de muebles y partes de muebles, principalmente de madera",,
,474,,#N/A,#N/A,PINARCIS SRL,,"Fabricación de muebles y partes de muebles, principalmente de madera",Venta al por mayor de muebles excepto de oficina artículos de mimbre y corcho colchones y somieres,
,475,,#N/A,#N/A,VERRACO SA,www.verraco.com.ar,"Fabricación de muebles y partes de muebles, principalmente de madera",Fabricación de productos elaborados de metal n.c.p.,
,476,,#N/A,#N/A,SUMATIK SRL,www.sumatik.com,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),,
,477,,#N/A,#N/A,FIGME SRL,,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),"Fabricación de productos plásticos en formas básicas y artículos de plástico n.c.p., excepto muebles",
,478,,#N/A,#N/A,TXT SRL,www.txtpack.com.ar,Fabricación de bolsas de materiales textiles para productos a granel,Venta al por mayor de artículos de librería y papelería,
,479,,#N/A,#N/A,RAFAELA MOTORES SA,www.rafaela-motores.com,"Fabricación de partes, piezas y accesorios para vehículos automotores y sus motores n.c.p.",,
,480,,#N/A,#N/A,ESTRUCTURAS Y MONTAJES ARGENTINOS SRL,www.estructurasema.com.ar,Fabricación de productos metálicos para uso estructural,"Construcción de obras de ingeniería civil n.c.p. (Incluye los trabajos generales de construcción para la minería y la industria, de centrales eléctricas y nucleares, excavaciones de sepulturas, etc.)",
,481,,#N/A,#N/A,GRUPO ADDNICE SA,www.addnice.com.ar,"Fabricación de calzado de materiales n.c.p., excepto calzado deportivo y ortopédico",Fabricación de calzado deportivo,
,482,,#N/A,#N/A,VENTAPEL SAIC,www.ventapel.com,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),,
,483,,#N/A,#N/A,ALL CLEAN GROUP SRL,www.allcleanmayorista.com.ar,Fabricación de artículos de papel y cartón n.c.p. (No incluye el papel de lija: 239900),Venta al por mayor de materiales y productos de limpieza,
,484,,#N/A,#N/A,SICEM SRL,www.sicemsrl.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)","Fabricación de motores, generadores y transformadores eléctricos",
,485,,#N/A,#N/A,DM60 SRL,www.dm60.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)","Instalaciones de ascensores, montacargas y escaleras mecánicas",
,486,,#N/A,#N/A,MASTERGOM SRL,www.mastergom.com.ar,Fabricación de productos de caucho n.c.p.,Fabricación de autopartes de caucho excepto cámaras y cubiertas,
,487,,#N/A,#N/A,AFTYKA SACHON INDUSTRIAS SRL,www.asindustrias.com.ar,Fabricación de productos de caucho n.c.p.,,
,488,,#N/A,#N/A,COARDEL SACIFIA,www.coardel.com.ar,Fabricación de productos de caucho n.c.p.,,
,489,,#N/A,#N/A,METALPRO SRL,,Fabricación de ataúdes,,
,490,,#N/A,#N/A,CONIMED SA,www.conimed.com,Fabricación de equipo eléctrico n.c.p.,Venta al por mayor de equipo profesional y científico e instrumentos de medida y de control n.c.p.,
,491,,#N/A,#N/A,INDECO SUDAMERICANA SRL,www.sinectis.com.ar,Fabricación de equipo eléctrico n.c.p.,"Instalación, ejecución y mantenimiento de instalaciones eléctricas, electromecánicas y electrónicas n.c.p. (Incluye la instalación de antenas, pararrayos, sistemas de alarmas contra incendios y robos, sistemas de telecomunicación, etc.)",
,492,,#N/A,#N/A,DESARROLLO ESPECIAL SRL,www.desaespe.com.ar,Fabricación de equipo eléctrico n.c.p.,Fabricación de equipos de comunicaciones y transmisores de radio y televisión,
,493,,#N/A,#N/A,MTA SRL,www.mta.com.ar,Fabricación de equipo eléctrico n.c.p.,Servicios de consultores en informática y suministros de programas de informática,
,494,,#N/A,#N/A,PORTIKO SAS,,Fabricación de aberturas y estructuras de madera para la construcción,"Construcción, reforma y reparación de edificios residenciales (Incluye la construcción, reforma y reparación de viviendas unifamiliares y multifamiliares bungalows, cabañas, casas de campo, departamentos, albergues para ancianos, niños, estudiantes, etc.)",
,495,,#N/A,#N/A,ROTA SA,www.rota.com.ar,Fabricación de productos metálicos para uso estructural,,
,496,,#N/A,#N/A,TEMET INC SAS,www.temet.com.ar,Fabricación de equipo eléctrico n.c.p.,Reparación y mantenimiento de maquinaria y aparatos eléctricos,
,497,,#N/A,#N/A,MARTIN PLAST SA,,Fabricación de envases plásticos,,
,498,,#N/A,#N/A,IZAJES Y TRANSMISIONES SA,www.izajes.com,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",Servicios empresariales n.c.p.,
,499,,#N/A,#N/A,SICA SA,www.oncativo.net.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)","Alquiler de maquinaria y equipo n.c.p., sin personal",
,500,,#N/A,#N/A,METALURGICA SAN VICENTE SRL,www.metsanvicente.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",,
,501,,#N/A,#N/A,CONSTRUCCIONES ELECTROMECANICAS I JOLTAC Y CIA SA,www.jonach.com.ar,"Fabricación de maquinaria y equipo de elevación y manipulación (Incluye la fabricación de ascensores, escaleras mecánicas, montacargas, etc.)",,
,502,,#N/A,#N/A,DE RICO SRL,,"Fabricación de carteles, señales e indicadores -eléctricos o no-",Servicios de publicidad n.c.p.,
,503,,#N/A,#N/A,CREACIONES MAX DE MARTHA IVANIER SA,www.softway.com.ar,Confección de prendas de vestir de cuero,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto",
,504,,#N/A,#N/A,BLOCK PABLO DANIEL Y BLOCK MIGUEL ANGEL SH,www.coopenet.com.ar,"Fabricación de motores, generadores y transformadores eléctricos","Reparaciones eléctricas del tablero e instrumental reparación y recarga de baterías instalación de alarmas, radios, sistemas de climatización",
,505,,#N/A,#N/A,ENERGIT ELECTRONICA DE POTENCIA SA,www.energitsa.com.ar,"Fabricación de motores, generadores y transformadores eléctricos",Venta al por mayor de mercancías n.c.p.,
,506,,#N/A,#N/A,MECON SA,www.meconsa.com.ar,Fabricación de ladrillos,,
,507,,#N/A,#N/A,AVIATEL ELECTRONICA SRL,www.aviatel.com.ar,Fabricación de equipo eléctrico n.c.p.,,
,508,,#N/A,#N/A,APRICLASS SRL,www.apriclass.com.ar,Fabricación de equipo eléctrico n.c.p.,"Venta al por mayor de máquinas, equipos e implementos de uso especial n.c.p. (Incluye motoniveladoras, excavadoras, palas mecánicas, perforadoras-percutoras, etc.)",
,509,,#N/A,#N/A,MAGAL SRL,,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",Fabricación de productos elaborados de metal n.c.p.,
,510,,#N/A,#N/A,TECNICA TUBAL SAIC,www.tecnicatubal.com,"Fabricación de maquinaria y equipo de uso general n.c.p. (Incluye la fabricación de equipos de aire acondicionado, matafuegos, etc.)","Instalaciones de gas, agua, sanitarios y de climatización, con sus artefactos conexos (Incluye la instalación de compactadores, calderas, sistemas de calefacción central, etc.)",
,511,,#N/A,#N/A,BOCCO HNOS SRL,www.boccosrl.com.ar,"Fabricación de maquinaria y equipo de uso general n.c.p. (Incluye la fabricación de equipos de aire acondicionado, matafuegos, etc.)","Venta al por menor de artículos nuevos n.c.p. (Incluye la venta realizada en casas de regalos, de artesanías, pelucas, de artículos religiosos -santerías-, recarga de matafuegos, etc.)",
,512,,#N/A,#N/A,BREVES SA,www.ormiflex.com,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,513,,#N/A,#N/A,ADAPI SA,www.adapi-srl.com.ar,Fabricación de productos metálicos de tornería y/o matricería,,
,514,,#N/A,#N/A,MEXELL SA,www.mexell.com.ar,Fabricación de productos metálicos de tornería y/o matricería,,
,515,,#N/A,#N/A,GIOVANARDI HERMANOS SA,www.lamadrugadasa.com.ar,Fabricación de productos metálicos de tornería y/o matricería,,
,516,,#N/A,#N/A,LASER HOUSE SA,www.laserhouse.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,517,,#N/A,#N/A,LA CORDOBESA SRL,www.lacordobesasrl.com.ar,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",,
,518,,#N/A,#N/A,NOSMARTI SA,www.nosmarti.com.ar,"Fabricación de tanques, depósitos y recipientes de metal (Incluye la fabricación de silos)",Construcción y reparación de buques (Incluye construcción de estructuras flotantes),
,519,,#N/A,#N/A,LAMINACION PAULISTA ARGENTINA SRL,www.laminacionpaulista.com.ar,"Laminación y estirado. Producción de lingotes, planchas o barras fabricadas por operadores independientes","Servicios inmobiliarios realizados por cuenta propia, con bienes urbanos propios o arrendados n.c.p.",
,520,,#N/A,#N/A,FUNDICION LA UNION SRL,www.fundicionlaunion.com.ar,Fundición de hierro y acero,,
,521,,#N/A,#N/A,METALEA SRL,www.fundemap.com.ar,Fundición de metales no ferrosos,Venta al por mayor de muebles excepto de oficina artículos de mimbre y corcho colchones y somieres,
,522,,#N/A,#N/A,MUGICA HERMANOS SA,,Fabricación de instrumentos de música,,
,523,,#N/A,#N/A,PAPELERA SAN FRANCISCO SA,,Fabricación de artículos de papel y cartón de uso doméstico e higiénico sanitario,,
,524,,#N/A,#N/A,ROSSI CORTINAS METALICAS SRL,www.cortinasrossi.com.ar,Fabricación de carpintería metálica,"Instalaciones de carpintería, herrería de obra y artística (Incluye instalación de puertas y ventanas, carpintería metálica y no metálica, etc.)",
,525,,#N/A,#N/A,MENACOR SRL,,Fabricación de carpintería metálica,"Industrias manufactureras n.c.p. (Incluye fabricación de paraguas, termos, pelucas, etc.)",
,526,,#N/A,#N/A,DIVEC SA,,"Impresión n.c.p., excepto de diarios y revistas","Venta al por menor de partes, piezas y accesorios nuevos n.c.p.",
,527,,#N/A,#N/A,ESTANTERIAS JAPONESAS SRL,www.japonesassrl.com.ar,"Fabricación de muebles y partes de muebles, excepto los que son principalmente de madera (metal, plástico, etc.)",Fabricación de carpintería metálica,
,528,,#N/A,#N/A,SILVERTEX SRL,,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",Fabricación de productos textiles n.c.p.,
,529,,#N/A,#N/A,HUCATEX SRL,www.hucatex.com.ar,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",,
,530,,#N/A,#N/A,INDUSTRIAS RIVIERA SA,www.indriviera.com.ar,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir","Venta al por mayor de artículos de ferretería y materiales eléctricos (Incluye la venta de clavos, cerraduras, cable coaxil, etc.)",
,531,,#N/A,#N/A,SINCERAR SA,,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",,
,532,,#N/A,#N/A,TSD SRL,www.filtrostsd.com.ar,"Fabricación de artículos confeccionados de materiales textiles n.c.p., excepto prendas de vestir",,
,533,,#N/A,#N/A,FAGUAR SACI,www.faguar.com.ar,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto","Confección de ropa de trabajo, uniformes y guardapolvos",
,534,,#N/A,#N/A,ZEMBLA SA,www.zemblasrl.com.ar,"Confección de prendas de vestir n.c.p., excepto prendas de piel, cuero y de punto","Venta al por mayor de prendas y accesorios de vestir n.c.p., excepto uniformes y ropa de trabajo",
