id,parent_id,name,parent_category
137,123,Soldadura por Plasma,Térmica
138,123,Soldadura por Plato Caliente,Térmica
139,123,Soldadura por Resistencia,Térmica
140,123,Soldadura por Ultrasonido,Térmica
141,123,Soldadura por Vibración,Térmica
142,5,Aditivo,Terminación
143,5,Impresión,Terminación
144,5,Substractivo,Terminación
145,142,Anodizado,Aditivo
146,142,Galvanizado,Aditivo
147,142,Galvanoplastia,Aditivo
148,142,Metalizado por Alto Vacio,Aditivo
149,142,Pintura con Pistola,Aditivo
150,142,Pulverización Electrostática,Aditivo
151,142,"Recubrimiento en Lecho Fluidizado, Inmersión en Lecho Fluidizado",Aditivo
152,143,"Hot Stamping, Foil Stamping",Impresión
153,143,"Impresión por Transferencia de Agua, Impresión Hidrográfica, Hidroimpresión, Hidrotransferencia",Impresión
154,143,Serigrafía,Impresión
155,143,Tampografía,Impresión
156,144,Acabado Vibratorio,Substractivo
157,144,"Afilación, Afilado",Substractivo
158,144,Arenado,Substractivo
159,144,Disco Abrasivo De Corte,Substractivo
160,144,Electropulido,Substractivo
161,144,Grabado CNC,Substractivo
162,144,Lapeado,Substractivo
163,144,Lijado de banda,Substractivo
164,144,Mecanizado Fotoquímico (PCM),Substractivo
165,144,Pulido con Disco Diamantado,Substractivo
166,144,Pulido Manual,Substractivo
167,,Materiales,null
168,167,Termoplásticos,Materiales
169,167,Termoestables,Materiales
170,167,Bioplásticos,Materiales
171,167,Caucho,Materiales
172,167,Metales,Materiales
173,167,Maderas,Materiales
174,167,Aglomerados,Materiales
175,167,Vidrios,Materiales
176,167,Cerámicas,Materiales
177,167,Textiles,Materiales
178,167,Pieles,Materiales
179,168,Plástico,Termoplásticos
180,168,Elastómero Termoplástico (TPE),Termoplásticos
181,179,Poliolefina,Plástico
182,179,Poliamida (PA),Plástico
183,181,Polipropileno (PP),Poliolefina
184,181,Polietileno (PE),Poliolefina
185,184,Polietileno de alta densidad (HDPE),Polietileno (PE)
186,184,Polietileno de ultra alta densidad (UHDPE),Polietileno (PE)
187,184,Polietileno de baja densidad (LDPE),Polietileno (PE)
188,184,Polietileno de ultra baja densidad (ULDPE),Polietileno (PE)
189,184,Polietileno lineal de baja densidad (LLDPE),Polietileno (PE)
190,181,Etilvinilacetato (EVA),Poliolefina
191,179,Polietileno Tereftalato (PET),Plástico
192,179,(PETG),Plástico
193,179,Policloruro de vinilo (PVC),Plástico
194,179,Polibutileno (PB),Plástico
195,179,Poliestireno (PS),Plástico
196,182,Nailon,Poliamida (PA)
197,182,Kevlar,Poliamida (PA)
198,182,Nomex,Poliamida (PA)
199,182,Urea formaldehído,Poliamida (PA)
200,179,Polimetilmetacrilato (PMMA),Plástico
201,179,Teflón (PTFE),Plástico
202,179,Policarbonato (PC),Plástico
203,179,Acrilonitrilo butadieno estireno (ABS),Plástico
204,179,Poliestireno de Alto Impacto (HIPS),Plástico
205,180,Poliuretano Termoplástico (TPU),Elastómero Termoplástico (TPE)
206,167,Piedra,Materiales
207,206,Mármol,Piedra
208,206,Granito,Piedra
209,7,Aserradero,Mecánico
210,144,Tren de lustre,Substractivo
211,180,Windform®,Elastómero Termoplástico (TPE)
212,180,Santoprene,Elastómero Termoplástico (TPE)
213,169,Elastómero,Termoestables
214,213,Caucho Sintético,Elastómero
215,213,Caucho Natural,Elastómero
216,215,Latex Natural,Caucho Natural
217,215,Caucho Natural Vulcanizado,Caucho Natural
218,214,Silicona,Caucho Sintético
219,214,Bromobutil,Caucho Sintético
220,214,Buna CB,Caucho Sintético
221,214,"Clorobutil, Butil",Caucho Sintético
222,214,"Cloropreno, Neopreno",Caucho Sintético
223,214,Hypalon,Caucho Sintético
224,214,"ECO, Epiclorohidrina, Epicloro, Epicloridrina, Herclor, Hidrina",Caucho Sintético
225,214,"Caucho etileno-propileno-dieno, Nordel",Caucho Sintético
226,214,"Viton, Kalrez, Fluorel, Chemraz",Caucho Sintético
227,214,"FMQ, Caucho de silicona",Caucho Sintético
228,214,HNBR,Caucho Sintético
229,214,Caucho natural (Sintético),Caucho Sintético
230,214,Butil,Caucho Sintético
231,214,"NBR, Caucho de Nitrilo, Perbunan, Buna-N",Caucho Sintético
232,214,Poliuretano Termoestable (PU) (PUR),Caucho Sintético
233,232,Viscoelástico,Poliuretano Termoestable (PU) (PUR)
234,233,Viscoelástico Espumado,Viscoelástico
235,233,Viscoelástico Moldeado,Viscoelástico
236,232,Poliuretano HR,Poliuretano Termoestable (PU) (PUR)
237,232,Elastómeros de Poliuretano de Colada,Poliuretano Termoestable (PU) (PUR)
238,232,Elastómeros de Poliuretano Prensado,Poliuretano Termoestable (PU) (PUR)
239,232,Elastómeros de Poliuretano Celular / Espuma de Poliuretano,Poliuretano Termoestable (PU) (PUR)
240,232,Poliuretanos Rígidos (PIR),Poliuretano Termoestable (PU) (PUR)
241,232,Poliuretano Termoestable (PUR) Muy Buena Adhesión,Poliuretano Termoestable (PU) (PUR)
242,232,Poliuretano Termoestable (PUR) Buena Adhesión,Poliuretano Termoestable (PU) (PUR)
243,232,Poliuretano Termoestable (PUR) Superficie Rugosa,Poliuretano Termoestable (PU) (PUR)
244,232,Poliuretano Termoestable (PUR) Llama Protegida,Poliuretano Termoestable (PU) (PUR)
245,232,Poliuretano Termoestable (PUR) Sin Halógenos,Poliuretano Termoestable (PU) (PUR)
246,214,Caucho Estireno-Butadieno (SBR) (GRS) Buna-S,Caucho Sintético
247,214,Caucho de Solución Estireno-Butadieno (S-SBR) Buna VSL,Caucho Sintético
248,214,Caucho Estireno-Etileno-Butileno-Estireno (SEBS),Caucho Sintético
249,214,Caucho de Silicona,Caucho Sintético
250,214,Caucho de Nitrilo (NBR) Buna-N,Caucho Sintético
251,214,Caucho de Nitrilo Carboxilado (XNBR),Caucho Sintético
252,,Ionómero,
253,,,
254,,,
255,,,
256,,,
257,,,
258,,,
259,,,
260,,,
261,,,
262,,,
263,,,
264,,,
265,,,
266,,,
267,,,
268,,,
269,,,
270,,,
271,,,
272,,,
273,,,
274,,,
275,,,
276,,,
277,,,
278,,,
279,,,
280,,,
281,,,
282,,,
283,,,
284,,,
285,,,
286,,,
287,,,
288,,,
289,,,
290,,,
291,,,
292,,,
293,,,
294,,,
295,,,
296,,,
297,,,
298,,,
299,,,
300,,,
301,,,
302,,,
303,,,
304,,,
305,,,
306,,,
307,,,
308,,,
309,,,
310,,,
311,,,
312,,,
313,,,
314,,,
315,,,
